#arb_time(seconds) flux_density(Jy/beam)
2.244500897600000259e+06 -1.702869999999999939e-01
2.244501397600000259e+06 3.004560000000000008e-01
2.244501897600000259e+06 -3.617090000000000027e-01
2.244502397600000259e+06 -8.681289999999999840e-02
2.244502897600000259e+06 -1.144800000000000040e+00
2.244503397600000259e+06 7.704440000000000177e-01
2.244503897600000259e+06 -1.708419999999999939e-01
2.244504397600000259e+06 -1.347560000000000091e+00
2.244504897600000259e+06 -6.194889999999999564e-01
2.244505397600000259e+06 -7.147099999999999564e-01
2.244505897600000259e+06 -5.455440000000000289e-01
2.244506397600000259e+06 4.633439999999999781e-01
2.244506897600000259e+06 -9.678170000000000384e-01
2.244507397600000259e+06 1.652570000000000081e-02
2.244507897600000259e+06 4.103129999999999833e-01
2.244508397600000259e+06 -3.463559999999999972e-01
2.244508897600000259e+06 -6.067420000000000035e-01
2.244509397600000259e+06 4.412280000000000091e-01
2.244509897600000259e+06 2.874970000000000026e-01
2.244510397600000259e+06 7.139950000000000463e-01
2.244510897600000259e+06 4.308500000000000107e-01
2.244511397600000259e+06 3.189049999999999940e-01
2.244511897600000259e+06 7.773039999999999949e-01
2.244512397600000259e+06 -4.600130000000000052e-01
2.244512897600000259e+06 -5.077610000000000179e-01
2.244513397600000259e+06 -7.411240000000000050e-01
2.244513897600000259e+06 -1.515209999999999890e-01
2.244514397600000259e+06 1.104889999999999928e+00
2.244514897600000259e+06 6.318669999999999565e-01
2.244515397600000259e+06 3.328690000000000260e-01
2.244515897600000259e+06 -2.213410000000000030e-02
2.244516397600000259e+06 9.055790000000000228e-01
2.244516897600000259e+06 4.080090000000000106e-01
2.244517397600000259e+06 1.283409999999999940e+00
2.244517897600000259e+06 1.673480000000000079e+00
2.244518397600000259e+06 1.056929999999999925e+00
2.244518897600000259e+06 1.674279999999999990e+00
2.244519397600000259e+06 7.571830000000000505e-01
2.244519897600000259e+06 6.629639999999999977e-01
2.244520397600000259e+06 1.073839999999999906e+00
2.244520897600000259e+06 1.884419999999999984e+00
2.244521397600000259e+06 2.241950000000000109e+00
2.244521897600000259e+06 2.340549999999999908e+00
2.244522397600000259e+06 1.870689999999999964e+00
2.244522897600000259e+06 1.553949999999999942e+00
2.244523397600000259e+06 3.095459999999999878e-01
2.244523897600000259e+06 2.211789999999999867e-01
2.244524397600000259e+06 -4.955419999999999825e-01
2.244524897600000259e+06 -5.093229999999999980e-02
2.244525397600000259e+06 7.372809999999999642e-01
2.244525897600000259e+06 6.190729999999999844e-01
2.244526397600000259e+06 2.156839999999999868e+00
2.244526897600000259e+06 2.269849999999999923e+00
2.244527397600000259e+06 1.422390000000000043e+00
2.244527897600000259e+06 3.195570000000000022e+00
2.244528397650000174e+06 1.730529999999999902e+00
2.244528897650000174e+06 4.195669999999999789e+00
2.244529397650000174e+06 2.607819999999999805e+00
2.244529897650000174e+06 3.304759999999999920e+00
2.244530397650000174e+06 3.635479999999999823e+00
2.244530897650000174e+06 3.610689999999999955e+00
2.244531397650000174e+06 2.087029999999999941e+00
2.244531897650000174e+06 4.098639999999999617e+00
2.244532397650000174e+06 3.710100000000000176e+00
2.244532897650000174e+06 5.712349999999999817e+00
2.244533397650000174e+06 5.725550000000000139e+00
2.244533897650000174e+06 5.999679999999999680e+00
2.244534397650000174e+06 6.819239999999999746e+00
2.244534897650000174e+06 8.390330000000000510e+00
2.244535397650000174e+06 8.220069999999999766e+00
2.244535897650000174e+06 7.828149999999999942e+00
2.244536397650000174e+06 6.578960000000000363e+00
2.244536897650000174e+06 6.047229999999999883e+00
2.244537397650000174e+06 6.207290000000000418e+00
2.244537897650000174e+06 4.146149999999999558e+00
2.244538397650000174e+06 3.592420000000000169e+00
2.244538897650000174e+06 3.396170000000000133e+00
2.244539397650000174e+06 2.939610000000000056e+00
2.244539897650000174e+06 3.440459999999999852e+00
2.244540397650000174e+06 4.061790000000000234e+00
2.244540897650000174e+06 4.825429999999999886e+00
2.244541397650000174e+06 7.309409999999999741e+00
2.244541897650000174e+06 7.627749999999999808e+00
2.244542397650000174e+06 8.471410000000000551e+00
2.244542897650000174e+06 8.089410000000000878e+00
2.244543397650000174e+06 6.319480000000000430e+00
2.244543897650000174e+06 6.197230000000000238e+00
